pick_number,name,position,secondary_position,height_display,weight_lbs,archetype,tier,tier_label,projected_role,development_outlook,bust_risk,is_bust,attr_Driving Layup,attr_Three Point Shot,attr_Close Shot,attr_Ball Handle,attr_Speed,attr_Agility,attr_Draw Foul,attr_Mid Range Shot,attr_Free Throw,attr_Intangibles,attr_Post Fade,attr_Post Hook,attr_Post Control,attr_Pass IQ,attr_Pass Accuracy,attr_Offensive Rebound,attr_Standing Dunk,attr_Shot IQ,attr_Pass Vision,attr_Hands,attr_Defensive Rebound,attr_Interior Defense,attr_Perimeter Defense,attr_Block,attr_Steal,attr_Speed With Ball,attr_Vertical,attr_Strength,attr_Stamina,attr_Hustle,attr_Head Durability,attr_Neck Durability,attr_Back Durability,attr_Left Shoulder Durability,attr_Right Shoulder Durability,attr_Left Elbow Durability,attr_Right Elbow Durability,attr_Left Hip Durability,attr_Right Hip Durability,attr_Left Knee Durability,attr_Right Knee Durability,attr_Left Ankle Durability,attr_Right Ankle Durability,attr_Left Foot Durability,attr_Right Foot Durability,attr_Miscellaneous Durability,attr_Pass Perception,attr_Defensive Consistency,attr_Help Defense IQ,attr_Offensive Consistency,attr_Potential,tend_Step Through Shot,tend_Shot Under Basket,tend_Shot Close,tend_Shot Close Left,tend_Shot Close Middle,tend_Shot Close Right,tend_Shot Mid-Range,tend_Spot Up Shot Mid-Range,tend_Off Screen Shot Mid-Range,tend_Shot Mid Left,tend_Shot Mid Left-Center,tend_Shot Mid Center,tend_Shot Mid Right-Center,tend_Shot Mid Right,tend_Shot Three,tend_Spot Up Shot Three,tend_Off Screen Shot Three,tend_Shot Three Left,tend_Shot Three Left-Center,tend_Shot Three Center,tend_Shot Three Right-Center,tend_Shot Three Right,tend_Contested Jumper Three,tend_Contested Jumper Mid-Range,tend_Stepback Jumper Three,tend_Stepback Jumper Mid-Range,tend_Spin Jumper,tend_Transition Pull-Up Three,tend_Drive Pull Up Three,tend_Drive Pull Up Mid-Range,tend_Use Glass,tend_Driving Layup,tend_Standing Dunk,tend_Driving Dunk,tend_Flashy Dunk,tend_Alley-Oop,tend_Putback,tend_Crash,tend_Spin Layup,tend_Hop Step Layup,tend_Euro Step Layup,tend_Floater,tend_Triple Threat Pump Fake,tend_Triple Threat Jab Step,tend_Triple Threat Idle,tend_Triple Threat Shoot,tend_Setup With Sizeup,tend_Setup With Hesitation,tend_No Setup Dribble,tend_Drive,tend_Spot Up Drive,tend_Off Screen Drive,tend_Drive Right,tend_Driving Crossover,tend_Driving Spin,tend_Driving Step Back,tend_Driving Half Spin,tend_Driving Double Crossover,tend_Driving Behind the Back,tend_Driving Dribble Hesitation,tend_Driving In and Out,tend_No Driving Dribble Move,tend_Attack Strong on Drive,tend_Pass to Open Man,tend_Flashy Pass,tend_Alley-Oop Pass,tend_Post Up,tend_Post Shimmy Shot,tend_Post Face Up,tend_Post Back Down,tend_Post Aggressive Back Down,tend_Shoot From Post,tend_Post Hook Left,tend_Post Hook Right,tend_Post Fade Left,tend_Post Fade Right,tend_Post Up and Under,tend_Post Hop Shot,tend_Post Step Back Shot,tend_Post Drive,tend_Post Spin,tend_Post Drop Step,tend_Post Hop Step,tend_Shot,tend_Touches,tend_Roll vs Pop,tend_Transition Spot Up,tend_Iso vs Elite Defender,tend_Iso vs Good Defender,tend_Iso vs Average Defender,tend_Iso vs Poor Defender,tend_Play Discipline,tend_Pass Interception,tend_Take Charge,tend_On-Ball Steal,tend_Contest Shot,tend_Block Shot,tend_Foul,tend_Hard Foul,badge_Adrenaline Rush,badge_Brick Wall,badge_Bruiser,badge_Claymore,badge_Comeback Kid,badge_Competitor,badge_Floor General,badge_Grease Lightning,badge_Heart of Gold,badge_Hot Zone Hunter,badge_Interceptor,badge_Iron Will,badge_Killer Instinct,badge_Large and In Charge,badge_Momentum Shifter,badge_Quick Study,badge_Resilience,badge_Solid Foundation,badge_Spark Plug,badge_Steadfast,badge_Team Ace,badge_Temperament,badge_Thriller,badge_Torch Bearer,badge_Winner,badge_Acrobat,badge_And-1 Threat,badge_Backdown Punisher,badge_Bully,badge_Contact Finisher,badge_Corner Pocket,badge_Deep Hooks,badge_Dream Shake,badge_Dropstepper,badge_Float Game,badge_Giant Slayer,badge_Layup Mixmaster,badge_Paint Prodigy,badge_Physical Finisher,badge_Post Fade Phenom,badge_Post Powerhouse,badge_Post Spin Technician,badge_Posterizer,badge_Pro Touch,badge_Putback Artist,badge_Rise Up,badge_Slithery Finisher,badge_Tear Dropper,badge_Up and Under,badge_Catch and Shoot,badge_Clutch Shooter,badge_Corner Specialist,badge_Deadeye,badge_Deep Fades,badge_Green Machine,badge_Limitless Range,badge_Mismatch Expert,badge_Off-Ball Pest,badge_Pull-Up Precision,badge_Quick Draw,badge_Rhythm Shooter,badge_Set Shot Specialist,badge_Shifty Shooter,badge_Shimmy Shooter,badge_Slippery Off-Ball,badge_Space Creator,badge_Stop and Pop,badge_Volume Shooter,badge_Ankle Assassin,badge_Break Starter,badge_Chef,badge_Clamp Breaker,badge_Dimer,badge_Downhill,badge_Dream Shaker,badge_Dribble Weave,badge_Handles for Days,badge_Hyperdrive,badge_Killer Combos,badge_Last Chance Passer,badge_Lob City Passer,badge_Needle Threader,badge_Pace Setter,badge_Pick and Roll Maestro,badge_Playmaker,badge_Post Playmaker,badge_Quick First Step,badge_Special Delivery,badge_Stop and Go,badge_Unpluckable,badge_Versatile Visionary,badge_Versatilist,badge_Box,badge_Challenger,badge_Clamps,badge_Crowd Control,badge_Defensive Leader,badge_Defensive Stopper,badge_Disruption,badge_Fast Feet,badge_Glove,badge_Guard Up,badge_Hard Foul,badge_High-Flying Denier,badge_High-Low Detective,badge_Intimidator,badge_Menace,badge_On-Ball Menace,badge_Pick Dodger,badge_Pogo Stick,badge_Rim Protector,badge_Shot Contester,badge_Sweep the Leg,badge_Tireless Defender,badge_Trapper,badge_Aerial Wizard,badge_Agility Booster,badge_Chase Down Artist,badge_Coiled Spring,badge_Fast Twitch,badge_Freight Train,badge_High Flyer,badge_Jump Starter,badge_Lightning Launch,badge_Mouse in the House,badge_Physical Specimen,badge_Physical Toughness,badge_Power Mover,badge_Speed Booster,badge_Traction,badge_Boxout Beast,badge_Crash,badge_Exhibition,badge_Glass Cleaner,badge_Glue Hands,badge_Hustle Rebounder,badge_Long Range Rebound,badge_Mega Patron,badge_Post Move Lockdown,badge_Power Rebounder,badge_Rebound Chaser,badge_Sky Walker,badge_Strong Handle,badge_Worm
1,Shake Washington,SG,,"6'10""",232,Inside-Out Scorer,1,Superstar,Franchise Player,One-and-Done Potential,Low,False,98,97,94,87,99,97,93,93,92,81,71,75,72,67,72,64,67,71,76,69,69,66,80,67,63,73,67,78,77,74,97,98,99,99,96,97,96,98,97,95,95,96,95,95,97,99,76,89,86,86,93,63,52,63,42,46,39,33,62,42,52,35,52,60,52,75,66,45,45,48,52,39,44,60,56,43,54,64,37,64,44,59,82,43,66,37,37,47,62,62,63,71,48,53,52,42,44,60,58,64,72,44,64,49,45,46,43,47,57,50,51,42,58,76,57,51,49,32,56,49,44,64,35,51,38,65,49,51,64,57,54,49,44,40,36,43,29,41,44,53,39,48,53,63,35,55,50,60,61,48,Bronze,Bronze,Bronze,Silver,Silver,Bronze,Silver,Bronze,Silver,None,Bronze,Bronze,Silver,None,Bronze,Bronze,None,Bronze,Silver,None,None,None,Gold,None,Bronze,Silver,None,None,None,Hall of Fame,None,Bronze,Bronze,None,Hall of Fame,None,None,None,Hall of Fame,Bronze,Bronze,Bronze,Gold,None,Silver,Bronze,Silver,Bronze,Bronze,Gold,None,None,Silver,None,None,None,Bronze,None,None,None,Silver,None,Bronze,None,None,None,None,Gold,None,None,None,None,Silver,None,Gold,Bronze,Bronze,None,None,None,Bronze,Bronze,None,Silver,None,Silver,Gold,Bronze,None,Silver,Bronze,Bronze,Bronze,Silver,None,Bronze,Silver,Bronze,Bronze,Silver,None,Bronze,None,Silver,Bronze,Gold,None,Bronze,Silver,Bronze,None,None,None,None,None,Gold,None,None,Bronze,Gold,None,Bronze,Bronze,None,Bronze,Bronze,Bronze,None,Bronze,Gold,Bronze,None,None,None,None,None,Bronze,None,None,Bronze,Gold,None,None,None
2,Nikola Harris,PG,SG,"6'2""",195,Lockdown Guard,1,Superstar,Defensive Anchor / All-Star,Franchise Cornerstone,High — Underperforming Prospect,True,56,87,71,86,97,99,61,51,60,73,64,65,74,63,58,66,68,69,66,56,70,58,99,67,98,65,64,62,66,99,89,88,85,86,92,86,88,88,94,85,89,87,84,93,91,87,97,99,98,74,96,62,42,36,64,39,52,57,62,41,50,52,38,41,57,43,67,38,42,38,45,49,50,57,35,62,36,55,60,45,62,59,63,54,42,49,42,47,52,43,56,37,55,40,56,35,55,44,62,42,37,44,55,44,62,54,40,57,36,45,62,44,56,42,65,39,53,37,43,45,54,35,42,47,51,39,41,47,62,36,65,43,60,61,50,47,56,38,59,36,49,54,37,89,61,87,97,35,35,46,None,None,None,Silver,None,None,Bronze,Gold,None,None,Legend,Bronze,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,Silver,Bronze,Hall of Fame,None,Bronze,Bronze,None,Bronze,None,None,None,None,None,Bronze,None,Bronze,None,Bronze,None,Bronze,None,Bronze,Bronze,Gold,None,None,Bronze,None,None,None,Silver,None,None,Bronze,Bronze,Bronze,None,Silver,None,Silver,Bronze,Bronze,None,None,Silver,Bronze,Bronze,None,Bronze,None,Bronze,Silver,None,Bronze,None,None,None,Silver,Bronze,Gold,Silver,Hall of Fame,Hall of Fame,None,Bronze,Bronze,None,Bronze,Silver,Hall of Fame,Gold,Silver,None,Bronze,None,Silver,None,None,None,Bronze,None,Bronze,None,None,None,Silver,None,None,None,Silver,None,None,Silver,Bronze,Silver,None,Bronze,None,None,None,None,Gold,None,None,None,None
3,Jamal Maxey,SF,SG,"6'7""",209,3-Level Scorer,2,All-Star / High-End Starter,Second-Option Star,Culture Player,Moderate,False,83,91,80,89,83,88,86,86,84,72,68,60,57,52,68,59,59,91,65,67,54,63,54,54,63,78,67,59,69,68,87,94,85,88,95,88,99,91,98,87,90,95,87,96,99,86,69,78,74,75,81,37,41,45,60,55,49,59,51,46,64,39,48,48,47,60,66,47,47,50,37,36,57,48,58,53,59,56,46,61,75,47,55,58,52,41,49,59,65,43,36,53,60,46,64,63,47,40,52,60,68,42,63,43,58,36,62,46,57,50,59,38,50,56,52,47,39,54,49,35,47,53,58,47,61,35,52,53,47,59,43,37,58,51,60,52,63,35,63,63,40,39,62,61,47,43,47,60,41,50,Bronze,None,None,Bronze,None,Gold,Bronze,None,Bronze,Gold,None,None,None,None,Bronze,Silver,None,None,None,None,Bronze,Bronze,None,Silver,None,None,Silver,Bronze,None,Gold,None,Bronze,Bronze,Bronze,Bronze,Bronze,None,None,Silver,Bronze,None,None,None,None,None,Bronze,None,None,None,None,None,Bronze,Hall of Fame,None,None,Silver,Bronze,Bronze,Bronze,None,Bronze,Gold,Bronze,None,None,None,Bronze,Bronze,None,None,None,None,Silver,None,Gold,None,Bronze,Bronze,Silver,Bronze,None,None,Silver,None,Silver,None,Bronze,Gold,Bronze,None,None,None,None,None,None,Silver,None,Bronze,None,None,None,Bronze,Silver,Gold,Bronze,None,None,Bronze,Bronze,None,Bronze,None,None,None,Gold,Bronze,Bronze,Bronze,None,None,Bronze,None,None,Silver,Bronze,Silver,None,Silver,None,None,None,Silver,None,Silver,None,Silver,Silver,None,Bronze,None,Bronze,Bronze,None,Silver
4,Sekou Rivera,PF,,"7'0""",269,Paint Bully,2,All-Star / High-End Starter,High-End Starter,Culture Player,Moderate,False,52,63,94,57,58,65,82,53,58,69,70,84,98,70,55,84,86,56,58,54,84,83,56,63,62,58,67,96,58,92,86,98,96,90,85,85,91,90,94,92,91,98,97,99,97,97,72,70,73,75,90,58,83,55,49,56,64,46,45,63,62,53,43,46,60,20,54,49,64,50,59,48,35,61,65,60,54,47,59,44,45,53,50,67,36,60,44,58,50,47,65,45,65,48,46,56,56,48,64,52,46,55,49,43,42,62,63,49,65,42,41,65,41,49,54,64,48,83,38,63,89,72,77,62,67,53,45,64,47,50,37,44,84,47,49,54,76,53,42,40,63,45,64,36,62,39,44,48,40,35,Silver,Gold,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,Bronze,None,None,Silver,None,None,None,Bronze,Bronze,None,None,None,Bronze,Silver,None,None,None,None,Silver,Silver,None,None,Hall of Fame,Hall of Fame,Bronze,Hall of Fame,None,Silver,None,None,Gold,None,Silver,None,None,Bronze,Hall of Fame,None,None,None,Silver,Bronze,None,None,None,Bronze,None,Silver,None,Bronze,None,Bronze,None,None,None,None,None,Silver,Gold,Bronze,None,None,Bronze,None,None,None,None,Gold,Bronze,Bronze,Bronze,None,Bronze,None,Bronze,None,None,Bronze,None,Gold,None,Bronze,None,Silver,Bronze,None,None,None,Bronze,None,Bronze,Bronze,Bronze,Silver,None,Hall of Fame,Silver,None,Bronze,None,None,Bronze,Bronze,Bronze,Bronze,Gold,None,None,Bronze,None,Silver,Silver,Silver,None,None,None,Bronze,Bronze,Silver,Silver,None,None,None,Bronze,Silver,None,Bronze,Bronze,Bronze
5,Sekou Hill,SG,SF,"6'7""",196,Mid-Range Specialist,2,All-Star / High-End Starter,High-End Starter,Immediate Contributor,Moderate,False,70,82,89,84,80,84,89,96,89,68,78,57,67,61,64,61,68,94,53,59,57,55,57,54,63,83,70,63,59,55,96,95,95,98,99,90,99,92,86,91,92,86,87,97,87,92,72,72,77,67,92,59,36,53,46,48,44,95,88,48,57,57,40,36,38,41,48,53,36,37,56,35,50,62,73,62,75,36,46,36,89,51,42,42,61,38,37,54,50,63,46,54,35,45,40,42,55,51,51,54,58,55,62,48,37,42,60,57,50,43,61,37,49,63,62,48,50,50,62,60,37,56,62,47,55,64,68,58,46,61,57,47,60,53,79,48,37,54,51,69,58,63,45,50,58,40,42,54,57,62,None,None,None,None,Bronze,None,None,None,None,None,Bronze,Bronze,Silver,None,None,Silver,None,None,None,Bronze,Bronze,None,Bronze,None,Bronze,None,None,Bronze,None,None,Silver,Bronze,Bronze,Bronze,None,None,None,None,Gold,Bronze,None,None,Bronze,Silver,None,Bronze,None,Bronze,None,None,None,None,Gold,None,None,Silver,Gold,Silver,Gold,Bronze,None,Gold,Bronze,None,None,Bronze,Gold,Bronze,Bronze,None,Bronze,None,None,Silver,None,Bronze,Bronze,Bronze,Bronze,Silver,Bronze,None,Bronze,None,None,None,Bronze,Bronze,None,None,None,None,Silver,Bronze,None,None,None,None,Bronze,None,Silver,None,Bronze,Bronze,Silver,None,Bronze,Bronze,Silver,Bronze,None,None,None,None,Bronze,Silver,Gold,None,Bronze,Gold,Silver,None,Gold,Bronze,None,None,Silver,Bronze,None,Bronze,Bronze,None,Silver,None,Bronze,Silver,Silver,None,Bronze,None,None,None,Silver,Bronze
6,Isaiah Davison,C,PF,"6'9""",266,Break Starter,2,All-Star / High-End Starter,Elite Role Player,Career Backup,High — Underperforming Prospect,True,56,60,42,51,77,58,49,61,62,62,60,56,53,86,85,83,50,67,84,40,99,87,52,80,52,49,61,88,61,91,85,84,87,86,92,88,91,94,86,88,88,77,75,88,88,85,58,69,71,72,90,48,37,38,48,38,46,64,40,44,60,59,35,62,58,49,51,53,63,55,44,62,59,65,40,62,62,55,37,41,55,39,63,52,36,51,52,62,77,56,46,37,51,48,62,39,44,56,41,64,49,46,38,52,53,39,42,60,49,38,50,62,42,40,84,61,80,41,45,43,37,48,37,51,52,37,44,59,36,44,52,44,42,43,61,52,65,29,41,59,58,60,60,40,57,41,36,74,40,52,Bronze,Silver,None,None,None,None,None,None,Bronze,None,Bronze,None,None,Bronze,None,None,Silver,None,Gold,None,Silver,None,Silver,Bronze,Bronze,None,Bronze,None,None,None,None,None,None,Bronze,None,Bronze,Bronze,None,Bronze,Bronze,None,None,Bronze,None,None,Bronze,None,None,None,None,None,Bronze,None,None,None,None,None,Bronze,None,None,None,Bronze,None,Gold,None,None,Gold,None,None,Silver,Bronze,None,Gold,Bronze,Bronze,Silver,Bronze,Bronze,None,None,Silver,Silver,None,None,None,None,Bronze,Bronze,Bronze,None,Gold,Bronze,Bronze,Silver,None,None,Silver,None,Bronze,None,None,None,None,None,None,None,Silver,None,None,Silver,Bronze,Bronze,None,None,Silver,None,None,None,Bronze,None,None,None,None,Bronze,None,Silver,Bronze,Silver,Bronze,Bronze,Bronze,Bronze,Bronze,Silver,Bronze,Bronze,Bronze,None,Silver,Bronze,Silver,Bronze,Silver,Silver
7,Elijah Powell,SG,,"6'7""",211,Mid-Range Specialist,3,Starter / Rotation,Quality Rotation Player,One-and-Done Potential,Moderate-High,False,51,68,82,77,72,73,70,92,82,64,75,48,42,47,54,59,52,83,54,53,51,47,45,58,45,70,47,44,56,59,85,90,83,84,82,84,75,87,77,76,90,85,79,83,76,81,64,57,60,63,77,36,43,56,54,36,53,89,86,63,41,54,60,58,45,33,36,63,35,39,44,36,42,49,92,56,89,59,49,59,94,64,40,65,46,60,39,64,40,44,61,63,36,52,59,61,52,62,37,41,61,44,42,35,57,52,51,61,46,61,42,50,43,59,39,37,38,47,60,58,61,60,47,54,57,57,61,49,63,45,39,55,35,44,75,62,46,40,40,77,62,37,38,41,48,53,61,38,38,35,None,None,None,None,Silver,Bronze,None,None,None,Gold,Silver,None,Bronze,Gold,None,Silver,Bronze,None,Bronze,None,None,Silver,Gold,Bronze,Silver,Bronze,None,None,None,Bronze,None,None,Bronze,None,None,Silver,Bronze,None,Bronze,Bronze,Bronze,None,Silver,Silver,None,None,Silver,None,None,None,None,None,Bronze,None,Silver,Silver,Bronze,Silver,Bronze,None,Silver,None,Bronze,Silver,None,None,None,Bronze,None,None,Bronze,Bronze,None,None,None,None,Bronze,None,Silver,None,Silver,Silver,None,None,None,Bronze,None,None,None,None,Silver,None,None,Silver,None,Bronze,None,None,Bronze,None,None,None,None,None,None,Bronze,None,Bronze,Bronze,Bronze,None,None,Bronze,None,None,Silver,None,None,Gold,Bronze,Silver,None,None,Silver,None,None,Bronze,None,None,Bronze,Silver,None,Bronze,None,None,None,Gold,None,None,Silver,None,None,Bronze,Bronze
8,Keyonte Banchero,SG,,"6'4""",201,Mid-Range Specialist,3,Starter / Rotation,Quality Rotation Player,Immediate Contributor,Moderate-High,False,44,67,74,68,70,74,72,90,85,68,74,60,54,54,48,42,47,82,54,58,49,48,53,55,51,76,43,52,50,52,84,78,86,84,82,80,80,78,78,89,90,79,79,89,81,77,69,55,57,69,77,63,60,47,65,43,49,85,79,47,53,41,64,65,57,32,29,40,60,45,56,49,58,53,76,48,89,40,40,54,91,54,63,42,61,51,45,63,39,51,38,53,47,44,42,58,41,62,50,56,56,52,57,35,47,41,51,40,41,58,51,43,46,41,35,49,36,61,57,42,60,45,58,47,65,61,51,40,43,44,42,47,53,47,67,35,47,57,38,81,56,46,54,36,35,65,55,36,55,59,Silver,None,Gold,None,Bronze,Silver,Silver,Bronze,Silver,None,Bronze,None,Bronze,Bronze,Silver,Silver,None,None,Silver,None,Gold,Bronze,None,None,None,Gold,Bronze,None,None,Silver,Bronze,Bronze,Silver,Bronze,Bronze,Bronze,None,None,Bronze,Bronze,None,Silver,None,Silver,None,None,None,Gold,None,None,None,None,Bronze,Bronze,None,None,Silver,Bronze,Bronze,None,None,None,Bronze,Bronze,Bronze,None,None,Gold,Hall of Fame,None,Bronze,None,None,None,Bronze,Silver,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,Bronze,None,None,None,Bronze,None,Bronze,None,None,None,None,None,None,Bronze,None,None,Silver,None,None,None,Silver,Bronze,None,Bronze,None,Gold,None,None,None,None,Bronze,None,Bronze,Silver,None,None,None,Bronze,None,Bronze,Bronze,Bronze,None,None,Bronze,None,None,None,None,Hall of Fame,Bronze,None,None,None,None
9,Kendrick Hill,PF,SF,"6'8""",251,Break Starter,3,Starter / Rotation,Defensive Starter,Career Backup,Moderate-High,False,45,46,42,49,73,57,52,56,55,59,50,45,42,83,84,73,54,58,74,49,89,72,58,71,44,51,60,81,53,83,83,81,81,89,87,77,83,79,79,82,75,77,82,86,81,80,56,71,62,72,70,62,50,48,35,45,42,40,60,51,62,39,35,40,57,40,44,38,60,60,62,60,50,48,49,35,54,44,64,44,38,37,35,52,36,59,63,56,75,47,47,55,35,60,53,57,35,38,36,38,44,53,58,44,49,48,56,61,35,51,46,48,63,39,83,45,73,32,46,59,43,52,59,53,58,65,38,43,55,40,58,64,41,44,45,48,80,27,58,53,53,51,56,43,60,53,61,70,36,61,Bronze,None,Gold,None,None,None,None,Gold,Bronze,None,None,None,None,None,Bronze,None,None,Silver,None,None,None,Bronze,None,Bronze,None,Bronze,None,None,Silver,Bronze,Bronze,None,Bronze,Silver,Gold,None,None,None,Silver,None,None,None,None,Bronze,None,None,None,None,Bronze,None,None,Silver,None,None,Bronze,None,Bronze,Bronze,Bronze,None,None,Silver,None,Bronze,None,None,None,Bronze,Silver,Silver,None,Bronze,Silver,None,None,None,None,Silver,Silver,Bronze,Hall of Fame,Silver,None,None,None,Hall of Fame,None,Bronze,Bronze,Bronze,Gold,None,Bronze,Silver,Bronze,None,Bronze,None,Bronze,None,None,None,None,Hall of Fame,None,Silver,None,None,None,Hall of Fame,Bronze,Silver,Bronze,Silver,Bronze,Bronze,Silver,Bronze,None,None,None,None,Silver,None,Bronze,Silver,None,None,None,Silver,Bronze,Bronze,None,None,Bronze,Bronze,Bronze,Silver,Bronze,None,Silver,None,None,None
10,Dariq Wagner,SF,SG,"6'7""",233,Slashing Forward,3,Starter / Rotation,Solid Starter,Immediate Contributor,Moderate-High,False,86,65,47,76,82,76,76,52,46,59,54,57,59,57,59,48,55,43,48,49,51,72,65,52,46,48,85,76,55,56,88,79,77,85,75,80,83,75,85,90,80,81,78,82,75,83,66,69,55,72,75,65,54,52,58,42,41,45,55,43,49,56,63,55,40,36,30,54,54,37,42,51,38,65,38,58,58,58,52,49,44,63,79,61,80,67,56,49,64,48,48,83,42,64,51,40,65,58,43,61,81,55,58,53,37,36,37,50,48,44,61,37,49,83,39,48,65,37,39,63,50,35,39,59,58,54,37,60,44,38,63,50,46,56,36,37,42,44,62,35,44,42,46,41,50,56,63,65,48,51,None,None,Bronze,None,Silver,None,None,None,None,Gold,Bronze,Silver,None,None,Bronze,None,None,None,Bronze,Silver,Silver,Bronze,Bronze,None,None,Bronze,Silver,None,None,Bronze,Gold,None,Gold,None,Silver,None,None,None,None,None,Silver,None,None,None,None,None,Bronze,None,None,Bronze,Bronze,Silver,None,Bronze,None,None,Bronze,None,Hall of Fame,None,Bronze,None,Bronze,Bronze,None,Bronze,Bronze,Bronze,None,Silver,Gold,Silver,None,Silver,Silver,Bronze,Bronze,Bronze,None,Bronze,Bronze,None,None,Bronze,None,Silver,Bronze,None,None,None,None,None,None,Gold,None,None,None,Silver,None,Bronze,Bronze,None,None,None,Bronze,None,None,Bronze,None,Bronze,Bronze,None,Bronze,None,None,Silver,Silver,None,Bronze,None,None,Bronze,None,None,None,Gold,Silver,None,Bronze,Silver,Bronze,Bronze,Silver,Bronze,None,None,None,None,None,None,None,Bronze,Bronze,None
